m,scenario,effect,detector,crossover_length,status,ci_low,ci_high,boot_internal_fraction,n_boot
2,exact_orbit,0.08,full,649.4034478339153,internal,596.7272316149316,733.921175107579,1.0,500
2,exact_orbit,0.08,fundamental,649.4034478339153,internal,591.4193746245694,716.7782229826166,1.0,500
2,exact_orbit,0.08,shared_orbit,477.51814534330805,internal,444.30215128088975,508.00129167176,1.0,500
2,exact_orbit,0.12,full,276.29629495795996,internal,258.4481808332749,296.4630988617155,1.0,500
2,exact_orbit,0.12,fundamental,276.29629495795996,internal,255.58288140066887,297.5855910958937,1.0,500
2,exact_orbit,0.12,shared_orbit,215.83781431202996,internal,202.42133037661137,230.54248410076843,0.97,500
2,exact_orbit,0.18,full,200.0,below_grid,,,0.0,500
2,exact_orbit,0.18,fundamental,200.0,below_grid,,,0.0,500
2,exact_orbit,0.18,shared_orbit,200.0,below_grid,,,0.0,500
2,exact_orbit,0.25,full,200.0,below_grid,,,0.0,500
2,exact_orbit,0.25,fundamental,200.0,below_grid,,,0.0,500
2,exact_orbit,0.25,shared_orbit,200.0,below_grid,,,0.0,500
2,independent_fundamental,0.08,full,1016.3488292899831,internal,927.5339787522412,1090.87453432787,1.0,500
2,independent_fundamental,0.08,fundamental,1016.3488292899831,internal,925.0591585313522,1096.581710441516,1.0,500
2,independent_fundamental,0.08,shared_orbit,611.1685254317184,internal,561.1772098005333,663.2729023029733,1.0,500
2,independent_fundamental,0.12,full,436.4831393534879,internal,383.3701551114389,473.4906801284229,1.0,500
2,independent_fundamental,0.12,fundamental,436.4831393534879,internal,386.6077596350785,475.42708211474223,1.0,500
2,independent_fundamental,0.12,shared_orbit,254.48153437237247,internal,236.23260580298003,271.38781971430905,1.0,500
2,independent_fundamental,0.18,full,209.7241720284339,internal,201.09361808898376,228.07546531615512,0.772,500
2,independent_fundamental,0.18,fundamental,209.7241720284339,internal,201.13648251212703,229.012250552278,0.788,500
2,independent_fundamental,0.18,shared_orbit,200.0,below_grid,,,0.0,500
2,independent_fundamental,0.25,full,200.0,below_grid,,,0.0,500
2,independent_fundamental,0.25,fundamental,200.0,below_grid,,,0.0,500
2,independent_fundamental,0.25,shared_orbit,200.0,below_grid,,,0.0,500
3,exact_orbit,0.08,full,1083.1234265704352,internal,1018.5046243196084,1146.418389593799,1.0,500
3,exact_orbit,0.08,fundamental,1083.1234265704352,internal,1010.8965404678147,1147.2582208865117,1.0,500
3,exact_orbit,0.08,shared_orbit,854.9312346396448,internal,780.7432772617818,925.6106608275147,1.0,500
3,exact_orbit,0.12,full,435.92731080771927,internal,389.51751366389806,474.643608911058,1.0,500
3,exact_orbit,0.12,fundamental,435.92731080771927,internal,393.76715930219683,475.38864642920583,1.0,500
3,exact_orbit,0.12,shared_orbit,342.7192022486072,internal,316.7960497708918,380.32668878282055,1.0,500
3,exact_orbit,0.18,full,200.81713200020744,internal,200.81056908969512,219.11151216608718,0.532,500
3,exact_orbit,0.18,fundamental,200.81713200020744,internal,200.81401964347916,218.3036821523972,0.51,500
3,exact_orbit,0.18,shared_orbit,200.0,below_grid,,,0.0,500
3,exact_orbit,0.25,full,200.0,below_grid,,,0.0,500
3,exact_orbit,0.25,fundamental,200.0,below_grid,,,0.0,500
3,exact_orbit,0.25,shared_orbit,200.0,below_grid,,,0.0,500
3,independent_fundamental,0.08,full,6214.761486294319,internal,5566.687415720108,6399.9999999999945,0.66,500
3,independent_fundamental,0.08,fundamental,6214.761486294319,internal,5574.763226926364,6399.9999999999945,0.696,500
3,independent_fundamental,0.08,shared_orbit,4434.157884738229,internal,4071.7746981702767,4828.439761276233,1.0,500
3,independent_fundamental,0.12,full,3489.624744528828,internal,3188.0377677111587,3718.335527852283,1.0,500
