m,scenario,n_boot,paired,shared_orbit/full_ci_low,shared_orbit/full_ci_high,shared_orbit/full_boot_n,shared_orbit/full_effects,shared_orbit/fundamental_ci_low,shared_orbit/fundamental_ci_high,shared_orbit/fundamental_boot_n,shared_orbit/fundamental_effects,fundamental/full_ci_low,fundamental/full_ci_high,fundamental/full_boot_n,fundamental/full_effects
2,exact_orbit,500,True,0.7073086067479625,0.796452785548765,488,2,0.7073086067479625,0.796452785548765,488,2,1.0,1.0,500,2
3,exact_orbit,500,True,0.7517642625888413,0.8235997409565335,500,2,0.7517642625888413,0.8235997409565335,500,2,1.0,1.0,259,3
4,exact_orbit,500,True,0.6565500942744317,0.7421109597485288,500,3,0.8051133628027436,0.8802511924502477,500,3,0.7856614381262842,0.8677814978917207,500,3
5,exact_orbit,500,True,0.5672589832656934,0.6983801013214537,500,3,0.7901831291134185,0.8787633766135391,500,3,0.7151114872229656,0.7979524250403061,374,4
6,exact_orbit,500,True,0.5632924280932455,0.6440531212064452,500,4,0.8082835728737547,0.8760689624004725,500,4,0.6657639167403389,0.7594785534301779,500,4
2,independent_fundamental,500,True,0.555781915569943,0.6410898237987657,500,2,0.555781915569943,0.6410898237987657,500,2,1.0,1.0,413,3
3,independent_fundamental,500,True,0.6059815731911041,0.711101338629584,347,4,0.6059815731911041,0.711101338629584,347,4,1.0,1.0,347,4
4,independent_fundamental,500,True,0.6144797836277729,0.7121385057224985,500,3,0.6839916760979698,0.7887050964291363,500,3,0.861569778094902,0.9455658978408495,500,3
5,independent_fundamental,500,True,0.5264159861546723,0.6030044642002024,500,3,0.6689023234065736,0.8027099100600757,500,3,0.7168400543324114,0.8242886490677401,500,3
6,independent_fundamental,500,True,0.5563667204215409,0.6297847794000865,500,3,0.7874479665113346,0.888291693509535,500,3,0.6641233009844351,0.7609887624257946,500,3
4,higher_mode,500,True,16.680265722170795,22.071073456200548,499,1,0.6685055869244333,0.8565476962015255,500,1,,,0,0
5,higher_mode,500,True,22.096980581830433,27.380227925826706,387,1,0.8912303134967288,1.0803516962331177,237,1,22.816993613377353,27.473423897962494,299,1
6,higher_mode,500,True,,,0,0,,,0,0,,,0,0
