m,shared_orbit/full,shared_orbit/full_n,shared_orbit/fundamental,shared_orbit/fundamental_n,fundamental/full,fundamental/full_n,scenario
2,0.7582502984994302,2,0.7582502984994302,2,1.0,2,exact_orbit
3,0.7877522598852874,2,0.7877522598852874,2,1.0,3,exact_orbit
4,0.6868274892428025,3,0.8417545678169057,3,0.8192619372792078,3,exact_orbit
5,0.6304363640043303,3,0.8377482916561855,3,0.7449793364697884,4,exact_orbit
6,0.6077079241728953,4,0.8518394876297275,4,0.7075283300251212,4,exact_orbit
2,0.5921822723577184,2,0.5921822723577184,2,1.0,3,independent_fundamental
3,0.6523416490149934,4,0.6523416490149934,4,1.0,4,independent_fundamental
4,0.6757278511703633,3,0.742080014373169,3,0.9105862414865693,3,independent_fundamental
5,0.5620993988582736,3,0.7504198942495304,3,0.7599237105071079,3,independent_fundamental
6,0.584189165392904,3,0.8271662397787861,3,0.6952768186719531,3,independent_fundamental
4,18.95300681177408,1,0.7633284085823878,1,,0,higher_mode
5,25.115306086088943,1,0.9643853928180101,1,26.042810553880372,1,higher_mode
6,,0,,0,,0,higher_mode
