m,scenario,effect,segment_length,split_fraction,n_left,n_right,total_length,detector,population_gain,expected_gain_total,mean_raw_gain,mean_score,sd_score,critical_value,null_rate_zero_threshold,power_zero_threshold,power_calibrated,shift_accuracy,n_alt,n_null,alpha,optimizer_failures,seed,pattern_000,pattern_001,pattern_010,pattern_011,pattern_100,pattern_101,pattern_110,pattern_111
2,exact_orbit,0.08,100,0.5,100,100,200,full,0.0031897890480961505,0.6379578096192301,0.9884103101796565,-0.9676011925344169,1.061591419489456,-0.2527529448832806,0.039,0.182,0.198,,500,1000,0.05,0,3044794407,358,43,0,0,0,0,19,80
2,exact_orbit,0.08,100,0.5,100,100,200,fundamental,0.003189789048096192,0.6379578096192384,0.9884103101798075,-0.967601192534266,1.0615914194894585,-0.2527529448830532,0.039,0.182,0.198,,500,1000,0.05,0,3044794407,358,43,0,0,0,0,19,80
2,exact_orbit,0.08,100,0.5,100,100,200,shared_orbit,0.003189789048096192,0.6379578096192384,0.5420766201436092,0.5420766201436092,1.2065543522885047,1.1224385493489137,0.275,0.628,0.246,1.0,500,1000,0.05,0,3044794407,358,43,0,0,0,0,19,80
2,exact_orbit,0.08,200,0.5,200,200,400,full,0.0031897890480961505,1.2759156192384602,1.6144281657922672,-0.6881569272017781,1.631004198588389,-0.46103960025420543,0.035,0.268,0.342,,500,1000,0.05,0,770266979,283,46,0,0,0,0,13,158
2,exact_orbit,0.08,200,0.5,200,200,400,fundamental,0.003189789048096192,1.2759156192384769,1.6144281657922332,-0.6881569272018119,1.631004198588373,-0.4610396002540349,0.035,0.268,0.342,,500,1000,0.05,0,770266979,283,46,0,0,0,0,13,158
2,exact_orbit,0.08,200,0.5,200,200,400,shared_orbit,0.003189789048096192,1.2759156192384769,1.0788494915967834,1.0788494915967834,1.8228612523642067,1.1013418308936025,0.212,0.678,0.408,1.0,500,1000,0.05,0,770266979,283,46,0,0,0,0,13,158
2,exact_orbit,0.08,400,0.5,400,400,800,full,0.0031897890480961505,2.5518312384769204,2.905667123215599,0.2565084399415806,2.203670959531863,-0.6791975226623577,0.017,0.466,0.568,,500,1000,0.05,0,175126754,105,111,0,0,0,0,11,273
2,exact_orbit,0.08,400,0.5,400,400,800,fundamental,0.003189789048096192,2.5518312384769537,2.9056671232155065,0.2565084399414881,2.2036709595318436,-0.6791975226621303,0.017,0.466,0.568,,500,1000,0.05,0,175126754,105,111,0,0,0,0,11,273
2,exact_orbit,0.08,400,0.5,400,400,800,shared_orbit,0.003189789048096192,2.5518312384769537,2.39576780940018,2.39576780940018,2.348161873408345,0.6305916498906754,0.091,0.87,0.768,1.0,500,1000,0.05,0,175126754,105,111,0,0,0,0,11,273
2,exact_orbit,0.08,800,0.5,800,800,1600,full,0.0031897890480961505,5.103662476953841,5.531805565546031,2.536073291992041,3.221097729844643,-1.1735767379609077,0.015,0.774,0.906,,500,1000,0.05,0,2499228671,4,43,0,0,0,0,2,451
