detector,scenario,m,beta_gain,beta_gain_se,penalty_slope,penalty_slope_se,penalty_slope_wls,penalty_slope_wls_se,weighting_shift,residual_slope,residual_slope_se,predicted_slope,k_star_multiple,units,r_squared,condition_number,n_points,method,beta_gain_wls
full,higher_mode,4,0.9952554153378813,0.002565651492773525,1.488212638206375,0.0599450657189651,1.504464473751958,0.03786146676538333,0.01625183554558296,0.011787361793630685,0.05994506571896522,1.5,3,nats,0.9999550163247761,619.9553745447027,24,ols,0.9976027666892449
full,higher_mode,5,0.9829027187687431,0.003705963038842841,1.9670008573842734,0.050647926807211065,1.9940108226465953,0.03250205784039834,0.02700996526232191,0.03299914261572651,0.050647926807210635,2.0,4,nats,0.9998934983312014,362.39254941156764,24,ols,0.9861070734787604
full,higher_mode,6,0.9963645907111215,0.0035551009415161023,2.4876087513095575,0.04249999663169823,2.517709529978564,0.03084237805920939,0.030100778669006623,0.012391248690440837,0.042499996631698046,2.5,5,nats,0.99989936766605,322.77536012104025,24,ols,0.999119436618566
fundamental,independent_fundamental,2,0.9999636260584771,0.002981159901810798,0.5216616240264685,0.057978709408780985,0.47389566062055244,0.034974142819333975,0.0477659634059161,-0.02166162402646454,0.057978709408780554,0.5,1,nats,0.9999418661243775,517.5848298812897,24,ols,0.9963971889994593
fundamental,independent_fundamental,3,0.9941751714897907,0.006917288589565802,0.9961611952033343,0.0248831548288244,0.9792851488409556,0.021639674212781738,0.016876046362378716,0.003838804796666734,0.024883154828824437,1.0,2,nats,0.9995927254887091,134.41400177451183,24,ols,0.9866633366947819
fundamental,independent_fundamental,4,0.9986632197263885,0.0068555276588812015,0.9707071148814035,0.02401240249015604,0.9606936874396917,0.019544158648147545,0.010013427441711742,0.029292885118595097,0.02401240249015618,1.0,2,nats,0.9996014373500315,133.50227689662867,24,ols,0.9941758614241059
fundamental,independent_fundamental,5,0.9809797740639392,0.008880758274844565,0.9636272454448835,0.030993734685477736,0.9882160370818839,0.020496773648602317,0.02458879163700034,0.036372754555115905,0.03099373468547786,1.0,2,nats,0.9993118118453432,133.42408664882174,24,ols,0.9894867801027148
fundamental,independent_fundamental,6,1.0096798746450368,0.005639878081141002,1.0357011568185133,0.019679240131303666,1.0174417665752635,0.017732399112604758,0.01825939024324974,-0.0357011568185131,0.01967924013130355,1.0,2,nats,0.99973197304165,133.42099884275436,24,ols,1.0028860504002834
shared_orbit,exact_orbit,2,0.9909024949629067,0.002618294763105925,-0.22799235278721297,0.08411481660269297,-0.0737119069625829,0.04597917716009064,0.15428044582463007,0.2279923527871995,0.08411481660269285,0.0,0,nats,0.9999563681591139,850.3747536333208,24,ols,0.9980936335539583
shared_orbit,exact_orbit,3,1.0007626075226312,0.004591330826347041,0.040600085333016886,0.11978132162343527,0.09049704241990164,0.06636827458114895,0.049896957086884755,-0.04060008533300908,0.11978132162343458,0.0,0,nats,0.9998646522418557,686.7175048471707,24,ols,1.0021771817970753
shared_orbit,exact_orbit,4,1.0016180279182445,0.0038457757909605636,0.08318846847865527,0.06259828823755198,0.1647928968477571,0.04506922280391656,0.08160442836910184,-0.08318846847864812,0.06259828823755191,0.0,0,nats,0.9999052361921917,434.7958876446822,24,ols,1.0078661872278265
shared_orbit,exact_orbit,5,1.0061749683351326,0.004865271127556847,0.13923672239195115,0.05460273676635507,0.14169205534597532,0.03255506029298162,0.0024553329540241697,-0.139236722391953,0.054602736766354895,0.0,0,nats,0.9998477967883065,305.1135486788113,24,ols,1.0052265782171264
shared_orbit,exact_orbit,6,1.004335792978492,0.004636063807980787,0.1218642262276382,0.037670547489856064,0.1794759260987542,0.022363647249430595,0.057611699871116,-0.12186422622763943,0.03767054748985577,0.0,0,nats,0.9998611821628971,228.0181538755014,24,ols,1.0152780063595934
